name,item_type,rarity,requires_attunement,attunement_requirement,description,mechanical_effect,charges,source_campaign,tags
Dagger of Wounding,Simple Melee,Uncommon,1,,"**Damage:** 1d4  
**Properties:** finesse, light, thrown (range 20/60)  
**Cost:** 2000 gp","Hit points lost to this weapon's damage can be regained only through a short or long rest, rather than by regeneration, magic, or any other means. Once per turn, when you hit a creature with an attack using this magic weapon, you can wound the target. At the start of each of the wounded creature's turns, it takes 1d4 necrotic damage for each time you've wounded it, and it can then make a DC 15 Constitution saving throw, ending the effect of all such wounds on itself on a success. Alternatively, the wounded creature, or a creature within 5 feet of it, can use an action to make a DC 15 Wisdom (Medicine) check, ending the effect of such wounds on it on a success. Requires attunement.",,,simple melee;weapon
Dancing Rapier,Martial Melee,Uncommon,1,,"**Damage:** 1d8  
**Properties:** finesse  
**Cost:** 2000 gp","You can use a bonus action to toss this magic sword into the air and speak the command word. When you do so, the sword begins to hover, flies up to 30 feet, and attacks one creature of your choice within 5 feet of it. The sword uses your attack roll and ability score modifier to damage rolls. While the sword hovers, you can use a bonus action to cause it to fly up to 30 feet to another spot within 30 feet of you. As part of the same bonus action, you can cause the sword to attack one creature within 5 feet of it. After the hovering sword attacks for the fourth time, it flies up to 30 feet and tries to return to your hand. If you have no hand free, it falls to the ground at your feet. If the sword has no unobstructed path to you, it moves as close to you as it can and then falls to the ground. It also ceases to hover if you grasp it or move more than 30 feet away from it. Requires attunement.",,,martial melee;weapon
Dancing Scimitar,Martial Melee,Uncommon,1,,"**Damage:** 1d6  
**Properties:** finesse, light  
**Cost:** 2000 gp","You can use a bonus action to toss this magic sword into the air and speak the command word. When you do so, the sword begins to hover, flies up to 30 feet, and attacks one creature of your choice within 5 feet of it. The sword uses your attack roll and ability score modifier to damage rolls. While the sword hovers, you can use a bonus action to cause it to fly up to 30 feet to another spot within 30 feet of you. As part of the same bonus action, you can cause the sword to attack one creature within 5 feet of it. After the hovering sword attacks for the fourth time, it flies up to 30 feet and tries to return to your hand. If you have no hand free, it falls to the ground at your feet. If the sword has no unobstructed path to you, it moves as close to you as it can and then falls to the ground. It also ceases to hover if you grasp it or move more than 30 feet away from it. Requires attunement.",,,martial melee;weapon
Dart,Simple Ranged,Common,0,,"**Damage:** 1d4  
**Properties:** finesse, thrown (range 20/60)  
**Cost:** 0.1 gp",,,,simple ranged;weapon
Dead Rat,Other,Common,0,,"An old dead rat. It has begun to decay, and eminates an unpleasant smell.",,,,other;magic-item
Decanter of Endless Water,Wondrous Item,Uncommon,0,,"This stoppered flask sloshes when shaken, as if it contains water. The decanter weighs 2 pounds. You can use an action to remove the stopper and speak one of three command words, whereupon an amount of fresh water or salt water (your choice) pours out of the flask. The water stops pouring out at the start of your next turn. Choose from the following options:
• ""Stream"" produces 1 gallon of water.
• ""Fountain"" produces 5 gallons of water.
• ""Geyser"" produces 30 gallons of water that gushes forth in a geyser 30 feet long and 1 foot wide.

As a bonus action while holding the decanter, you can aim the geyser at a creature you can see within 30 feet of you. The target must succeed on a DC 13 Strength saving throw or take 1d4 bludgeoning damage and fall prone. Instead of a creature, you can target an object that isn't being worn or carried and that weighs no more than 200 pounds. The object is either knocked over or pushed up to 15 feet away from you.",,,,wondrous item;magic-item
Deck of Illusions,Wondrous Item,Uncommon,0,,"This box contains a set of parchment cards. A full deck has 34 cards. A deck found as treasure is usually missing 1d20 − 1 cards.

The magic of the deck functions only if cards are drawn at random (you can use an altered deck of playing cards to simulate the deck). You can use an action to draw a card at random from the deck and throw it to the ground at a point within 30 feet of you.

An illusion of one or more creatures forms over the thrown card and remains until dispelled. An illusory creature appears real, of the appropriate size, and behaves as if it were a real creature except that it can do no harm. While you are within 120 feet of the illusory creature and can see it, you can use an action to move it magically anywhere within 30 feet of its card. Any physical interaction with the illusory creature reveals it to be an illusion, because objects pass through it. Someone who uses an action to visually inspect the creature identifies it as illusory with a successful DC 15 Intelligence (Investigation) check. The creature then appears translucent.

The illusion lasts until its card is moved or the illusion is dispelled. When the illusion ends, the image on its card disappears, and that card can't be used again.   Playing Card Illusion 
    Ace of hearts Red dragon 
  King of hearts Knight and four guards 
  Queen of hearts Succubus or incubus 
  Jack of hearts Druid 
  Ten of hearts Cloud giant 
  Nine of hearts Ettin 
  Eight of hearts Bugbear 
  Two of hearts Goblin 
  Ace of diamonds Beholder 
  King of diamonds Archmage and mage apprentice 
  Queen of diamonds Night hag 
  Jack of diamonds Assassin 
  Ten of diamonds Fire giant 
  Nine of diamonds Ogre mage 
  Eight of diamonds Gnoll 
  Two of diamonds Kobold 
  Ace of spades Lich 
  King of spades Priest and two acolytes 
  Queen of spades Medusa 
  Jack of spades Veteran 
  Ten of spades Frost giant 
  Nine of spades Troll 
  Eight of spades Hobgoblin 
  Two of spades Goblin 
  Ace of clubs Iron golem 
  King of clubs Bandit captain and three bandits 
  Queen of clubs Erinyes 
  Jack of clubs Berserker 
  Ten of clubs Hill giant 
  Nine of clubs Ogre 
  Eight of clubs Orc 
  Two of clubs Kobold 
  Jokers (2) You (the deck's owner)",,,,wondrous item;magic-item
Defender Greatsword,Martial Melee,Very Rare,1,,"**Damage:** 2d6  
**Properties:** heavy, two-handed  
**Cost:** 24000 gp","You gain a +3 bonus to attack and damage rolls made with this magic weapon. The first time you attack with the sword on each of your turns, you can transfer some or all of the sword's bonus to your Armor Class, instead of using the bonus on any attacks that turn. For example, you could reduce the bonus to your attack and damage rolls to +1 and gain a +2 bonus to AC. The adjusted bonuses remain in effect until the start of your next turn, although you must hold the sword to gain a bonus to AC from it. Requires attunement.",,,martial melee;weapon
Demon's Vale Wine,Other,Common,0,,A one-gallon cask of Demon’s Vale Wine; a fiery red wine known to be made from hot peppers.,,,,other;magic-item
Dice set,Tool,Common,0,,"If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set. Each type of gaming set requires a separate proficiency.",,,,tool;magic-item
Dimensional Shackles,Wondrous Item,Rare,0,,"You can use an action to place these shackles on an incapacitated creature. The shackles adjust to fit a creature of Small to Large size. In addition to serving as mundane manacles, the shackles prevent a creature bound by them from using any method of extradimensional movement, including teleportation or travel to a different plane of existence. They don't prevent the creature from passing through an interdimensional portal. You and any creature you designate when you use the shackles can use an action to remove them. Once every 30 days, the bound creature can make a DC 30 Strength (Athletics) check. On a success, the creature breaks free and destroys the shackles.",,,,wondrous item;magic-item
Dinosaur Bacon,Other,Common,0,,"18 dried rashers of meat, possibly the largest rashers you have ever seen. They are wrapped in a sheep bladder cloth which has been labelled ""THUNDERER MEAT"" in large, rough handwriting.",,,,other;magic-item
Dire Bat Wings,Other,Common,0,,"Two large Dire Bat wings. It is unclear how long they have been seperated from the rest of the bat, but they are in good condition and could potentially be used as a crafting material.",,,,other;magic-item
Disguise Kit,Tool,Common,0,,"This pouch of cosmetics, hair dye, and small props lets you create disguises that change your physical appearance. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to create a visual disguise.",,,,tool;magic-item
